"id","What technologies do you use to visualize data? Select all that apply._01","What technologies do you use to visualize data? Select all that apply._02","What technologies do you use to visualize data? Select all that apply._03","What technologies do you use to visualize data? Select all that apply._04","What technologies do you use to visualize data? Select all that apply._05","What technologies do you use to visualize data? Select all that apply._06","What technologies do you use to visualize data? Select all that apply._07","What technologies do you use to visualize data? Select all that apply._08","What technologies do you use to visualize data? Select all that apply._09","What technologies do you use to visualize data? Select all that apply._10","What technologies do you use to visualize data? Select all that apply._11","What technologies do you use to visualize data? Select all that apply._12","What technologies do you use to visualize data? Select all that apply._13","What technologies do you use to visualize data? Select all that apply._14","What technologies do you use to visualize data? Select all that apply._15","What technologies do you use to visualize data? Select all that apply._16","What technologies do you use to visualize data? Select all that apply._17","What technologies do you use to visualize data? Select all that apply._18","What technologies do you use to visualize data? Select all that apply._19","What technologies do you use to visualize data? Select all that apply._20"
1,"ArcGIS","Excel","ggplot2","Gephi","Illustrator","Java","Leaflet","Mapbox","Plotly","Python","QGIS","R","Tableau","Web Components","Pen & Paper","Other physical materials","Canvas","GeoDa",NA,NA
2,"Excel","Tableau","Piktochart","Venngage","Flourish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Excel","Power BI","R","Tableau","Pen & Paper","PowerPoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Excel","Google data studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Excel","Google data studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"D3","Illustrator","Leaflet","Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Power BI","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"D3","Angular","Excel","Java","R","React","Vega","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"ArcGIS","D3","Excel","Illustrator","Leaflet","Mapbox","Processing","Python","QGIS","Pen & Paper","P5/Processing","Three.js",NA,NA,NA,NA,NA,NA,NA,NA
10,"D3","Excel","Java","Mapbox","Python","R","Vega","Vue","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Excel","Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Illustrator","Mapbox","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
