"id","education","experience","major","gender","country","salary"
1,"Masters",2,"Biology","Others","USA","$40k - $60k"
2,"Bachelors",6,"Others","Man","Others","Less than $20,000"
3,"Masters",7,"Mathematics","Man","USA","$120k - $140k"
4,"Bachelors",5,"English","Man","USA","$100k - $120k"
5,"Bachelors",5,"English","Man","USA","$100k - $120k"
6,"Others",0,"Others","Man","USA","$80k - $100k"
7,"Bachelors",8,"Others","Man","USA","$100k - $120k"
8,"PhD",25,"Engineering","Man","Others","$20k - $40k"
9,"Masters",8,"Philosophy","Man","USA","$100k - $120k"
10,"Others",4,"Others","Man","USA","$140k - $160k"
11,"Others",0,"Others","Man","USA","Others"
12,"Masters",15,"Music","Man","USA","$200k+"
13,"PhD",3,"Others","Man","USA","$60k - $80k"
14,"PhD",5,"Business","Man","Australia","$140k - $160k"
15,"Masters",20,"Others","Man","USA","Others"
16,"Bachelors",1,"Others","Man","Others","Less than $20,000"
17,"Bachelors",11,"Business Administration","Man","USA","$120k - $140k"
18,"Masters",0,"Biology","Man","USA","$60k - $80k"
19,"Masters",8,"Political science","Man","USA","$100k - $120k"
20,"Bachelors",15,"English","Man","USA","$60k - $80k"
21,"Bachelors",3,"Business Administration","Man","Others","$20k - $40k"
22,"Masters",4,"Biology","Man","USA","$20k - $40k"
23,"PhD",10,"Others","Man","Spain","$40k - $60k"
24,"Masters",5,"Others","Man","Canada","$80k - $100k"
25,"Masters",10,"Others","Man","USA","$100k - $120k"
26,"Masters",0,"Others","Man","Others","$200k+"
27,"Others",7,"Others","Man","USA","$20k - $40k"
28,"Masters",2,"Economics","Man","USA","$80k - $100k"
29,"Bachelors",2,"Others","Man","USA","$40k - $60k"
30,"Masters",8,"Others","Man","USA","Others"
31,"Masters",3,"Others","Man","Others","Less than $20,000"
32,"Bachelors",1,"Others","Man","United Kingdom","$20k - $40k"
33,"Bachelors",1,"Others","Man","USA","$40k - $60k"
34,"Bachelors",2,"Others","Man","Others","$20k - $40k"
35,"Others",3,"Others","Man","Others","$40k - $60k"
36,"Others",5,"Others","Man","India","Less than $20,000"
37,"Masters",4,"Others","Man","USA","$80k - $100k"
38,"Bachelors",4,"Others","Man","USA","$80k - $100k"
39,"Bachelors",5,"Others","Man","United Kingdom","$40k - $60k"
40,"Bachelors",6,"Others","Man","USA","$200k+"
41,"Masters",2,"Others","Man","USA","$100k - $120k"
42,"Bachelors",4,"Others","Man","USA","$100k - $120k"
43,"Masters",4,"Others","Man","United Kingdom","$60k - $80k"
44,"Bachelors",2,"Music","Man","United Kingdom","$40k - $60k"
45,"Bachelors",7,"Others","Man","USA","$120k - $140k"
46,"Masters",10,"Others","Man","USA","$120k - $140k"
47,"Bachelors",10,"Economics","Man","USA","$80k - $100k"
48,"Bachelors",1,"Others","Man","Argentina","Less than $20,000"
49,"PhD",0,"Others","Man","Others","$20k - $40k"
50,"Bachelors",6,"Others","Man","USA","$100k - $120k"
51,"PhD",0,"Others","Man","USA","$100k - $120k"
52,"PhD",8,"Others","Man","USA","$100k - $120k"
53,"PhD",2,"Mathematics","Man","USA","$40k - $60k"
54,"PhD",15,"Others","Man","USA","$100k - $120k"
55,"PhD",5,"Others","Man","USA","$80k - $100k"
56,"PhD",6,"Others","Man","USA","$60k - $80k"
57,"PhD",0,"Others","Man","Others","$140k - $160k"
58,"Masters",5,"Others","Man","Spain","Less than $20,000"
59,"Others",3,"Others","Man","United Kingdom","$40k - $60k"
60,"Masters",3,"Others","Man","USA","$100k - $120k"
61,"Bachelors",1,"Others","Man","USA","$200k+"
62,"Masters",1,"Others","Man","USA","$60k - $80k"
63,"Masters",3,"Others","Man","USA","$60k - $80k"
64,"Masters",0.5,"Others","Man","India","$20k - $40k"
65,"PhD",15,"Others","Man","USA","$100k - $120k"
66,"PhD",5,"Others","Man","Australia","$120k - $140k"
67,"PhD",10,"Others","Man","France","$80k - $100k"
68,"PhD",20,"Others","Man","USA","$100k - $120k"
69,"Bachelors",5,"Others","Man","India","Others"
70,"Bachelors",0,"Advertising","Man","USA","$120k - $140k"
71,"Masters",4,"Physics","Man","Others","$120k - $140k"
72,"Bachelors",0,"Others","Man","India","$80k - $100k"
73,"Masters",4,"Others","Man","India","$60k - $80k"
74,"Others",7,"Others","Man","Others","$80k - $100k"
75,"Masters",1,"Business","Man","Canada","$60k - $80k"
76,"Others",3,"Others","Man","Germany","$40k - $60k"
77,"Masters",3,"Others","Man","USA","$60k - $80k"
78,"Others",19,"Others","Man","Germany","$100k - $120k"
79,"Bachelors",12,"Others","Man","Australia","$180k - $200k"
80,"PhD",2,"Biology","Man","Italy","Less than $20,000"
81,"Masters",10,"Others","Man","USA","$120k - $140k"
82,"Bachelors",3,"Others","Man","Others","$20k - $40k"
83,"Masters",3,"Business Administration","Man","USA","$60k - $80k"
84,"Masters",1,"Others","Man","USA","$60k - $80k"
85,"Others",3,"Others","Man","USA","$40k - $60k"
86,"Masters",1,"Others","Man","Others","$60k - $80k"
87,"Masters",3,"Others","Man","United Kingdom","$20k - $40k"
88,"Masters",6,"Others","Man","USA","$180k - $200k"
89,"Bachelors",13,"Others","Man","Mexico","$20k - $40k"
90,"Others",8,"Others","Man","USA","$100k - $120k"
91,"Bachelors",12,"Others","Man","Brazil","$20k - $40k"
92,"Others",2,"Others","Man","Others","$60k - $80k"
93,"Bachelors",3,"Economics","Man","USA","$40k - $60k"
94,"Bachelors",2,"Others","Man","USA","$40k - $60k"
95,"Masters",6,"Others","Man","Others","$80k - $100k"
96,"Masters",13,"Others","Man","India","$100k - $120k"
97,"Others",10,"Mathematics","Man","USA","$60k - $80k"
98,"Bachelors",1,"Others","Man","USA","$40k - $60k"
99,"Bachelors",0.5,"Economics","Man","USA","$40k - $60k"
100,"Masters",0.5,"Others","Man","Germany","$60k - $80k"
101,"Bachelors",7,"Others","Man","USA","$120k - $140k"
102,"Bachelors",0,"Others","Man","United Kingdom","$80k - $100k"
103,"Others",10,"Others","Man","United Kingdom","$40k - $60k"
104,"Masters",4,"Others","Man","Others","$120k - $140k"
105,"Others",15,"Others","Man","United Kingdom","$80k - $100k"
106,"PhD",5,"Others","Man","USA","$100k - $120k"
107,"Masters",3,"Others","Man","Brazil","$80k - $100k"
108,"Bachelors",24,"Others","Man","USA","$200k+"
109,"Masters",12,"Engineering","Man","USA","$200k+"
110,"Masters",0,"Others","Man","Others","Others"
111,"PhD",5,"Others","Man","USA","$80k - $100k"
112,"Bachelors",1,"Others","Man","India","$20k - $40k"
113,"Masters",10,"Others","Man","USA","$120k - $140k"
114,"Bachelors",6,"Others","Man","USA","$60k - $80k"
115,"PhD",12,"Others","Man","Others","$100k - $120k"
116,"PhD",0,"Others","Man","USA","$120k - $140k"
117,"Bachelors",1,"Others","Man","India","Less than $20,000"
118,"PhD",15,"Others","Man","United Kingdom","$100k - $120k"
119,"Masters",10,"Others","Man","USA","$180k - $200k"
120,"Bachelors",6,"Others","Man","United Kingdom","$40k - $60k"
121,"Bachelors",6,"Industrial Design","Man","Brazil","$80k - $100k"
122,"Bachelors",7,"Others","Man","Italy","$20k - $40k"
123,"Bachelors",5,"Illustration","Man","Others","$120k - $140k"
