,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,Hour_data_visualization,Hour_data_engineering,Hour_data_science,Hour_design,Hour_data_prep,Hour_build_portfolio,Presentation_format,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_Python,tool_D3,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,format_Presentations,format_Dashboard,format_Documents,format_Email,format_Embeddedinatool,format_StaticWebPage,format_InteractiveNotebook,format_Scrollytelling
0,Equal Parts School and Self-Taught,Academic,$40k - $60k,"ArcGIS,Excel,ggplot2,Gephi,Illustrator,Java,Leaflet,Mapbox,Plotly,Python,QGIS,R,Tableau,WebComponents,Pen&Paper,Otherphysicalmaterials,Canvas,GeoDa","PieChart,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Biology,Genderqueer,USA,1.0,0.0,5.0,5.0,1.0,0.0,"Dashboard,Documents,Presentations,Email,Digitalflyersthroughsocialmedia,dynamic/interactivewebpages.",yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no
1,Mostly Self-Taught,Leadership,< $20k,"Excel,Tableau,Piktochart,Venngage,Flourish","LineChart,BarChart,PieChart,Infographics,PictorialVisualization",Journalism,Public Administration,Man,Tanzania,8.0,2.0,2.0,8.0,10.0,8.0,Scrollytelling,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
2,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"Excel,PowerBI,R,Tableau,Pen&Paper,PowerPoint","LineChart,BarChart,PieChart,Scatterplot,Treemap",Public sector,Mathematics,Man,USA,5.0,0.0,0.0,0.0,5.0,0.0,Presentations,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no
3,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Googledatastudio","LineChart,BarChart",Marketing,English!,Man,USA,5.0,2.0,0.0,5.0,2.0,0.0,"Dashboard,Scrollytelling,Presentations,Email",yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes
4,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Googledatastudio","LineChart,BarChart",Marketing,English!,Man,USA,5.0,2.0,0.0,5.0,2.0,0.0,"Dashboard,Scrollytelling,Presentations,Email",yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes
5,Mostly Self-Taught,Developer,$80k - $100k,"D3,Illustrator,Leaflet,PowerBI","BarChart,PieChart,Infographics,Treemap,NetworkDiagram",Private sector,Computer Science,Man,USA,2.0,2.0,0.0,2.0,3.0,3.0,"Embeddedinatool,Dashboard,Documents,Email",no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no
6,Mostly Self-Taught,Analyst,$100k - $120k,"PowerBI,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Information Technology,Man,USA,16.0,5.0,0.0,5.0,14.0,0.0,"Embeddedinatool,Dashboard,Presentations,Email",no,yes,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no
7,Mostly Self-Taught,Leadership,$20k - $40k,"D3,Angular,Excel,Java,R,React,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,Engineering,Man,Greece,6.0,2.0,2.0,2.0,2.0,8.0,"Embeddedinatool,Dashboard,Scrollytelling,Presentations,Email,Newspaperorotherphysicalhandout",yes,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
8,Equal Parts School and Self-Taught,Academic,$100k - $120k,"ArcGIS,D3,Excel,Illustrator,Leaflet,Mapbox,Processing,Python,QGIS,Pen&Paper,P5/Processing,Three.js","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic + Journalism,Philosophy,Man,USA,5.0,2.0,5.0,5.0,2.0,0.0,"Scrollytelling,StaticWebPage,InteractiveNotebook,Documents,Presentations",yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes
11,Mostly Self-Taught,Leadership,$200k+,"Illustrator,Mapbox,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private Sector and Academic,Music,Man,USA,15.0,5.0,5.0,10.0,5.0,10.0,"Embeddedinatool,Dashboard,Documents,Presentations,Email",no,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
